id,text
T01,"Срочно перезвони, из трубы льётся вода."
T02,"Пожалуйста, пришли файл до конца недели."
T03,"Если не ответите за пять минут, заявка закроется."
T04,"Когда будет удобно, посмотри мой черновик."
T05,"Помогите сейчас, ребёнок заперт в лифте."
T06,"Напоминаю, завтра сдаём отчёт."
T07,Очень жду вашего решения.
T08,Нужно немедленно отключить питание.
T09,На следующем собрании обсудим бюджет.
T10,Мне бы получить ответ побыстрее.
T11,Пожар! Вызывайте спасателей!
T12,Отправьте договор в течение месяца.
T13,"У нас осталось десять минут до вылета, где водитель?"
T14,"Не спешите, вопрос терпит."
T15,СРОЧНО: купите новую коллекцию до воскресенья!
T16,Можешь зайти ко мне сегодня?
T17,"Система остановилась, клиенты не могут оплатить заказ."
T18,Нужна помощь с таблицей.
T19,"Остался последний билет, бронируйте прямо сейчас."
T20,Прошу ответить в установленный срок.
T21,"Кровь не останавливается, что делать?"
T22,Жду комментарии до 18:00 сегодня.
T23,Это важно для меня.
T24,Без вашего подтверждения через минуту удалится архив.
T25,"Почините принтер, когда освободитесь."
T26,Мне срочно нужен совет по выбору обоев.
T27,"Срок оплаты истёк вчера, сообщите дату перевода."
T28,Мы готовы подождать до следующей недели.
T29,"Дверь заклинило, в комнате пахнет дымом."
T30,"Уточните, пожалуйста, расписание."
T31,Сделай это первым делом утром.
T32,Сейчас или никогда: скидка на подписку!
T33,Не могу войти в аккаунт второй день.
T34,"Врач сказал обратиться немедленно, помогите записаться."
T35,Сегодня было бы хорошо закончить.
T36,"Завтра в 9 встреча, добавь её в календарь."
T37,"Сервер падает, до начала трансляции три минуты."
T38,Ответьте при первой возможности.
T39,"Не срочно, но до обеда желательно."
T40,В отделе говорят: «Срочно всё переделать». Я пока жду решения.
T41,СРОЧНО!!! Как называется эта песня?
T42,Справка нужна через два месяца.
T43,Уберите машину: она перекрывает проезд скорой.
T44,Третий раз прошу прислать акт.
T45,"Перезвони, как увидишь сообщение."
T46,"Если успеешь сегодня, будет здорово."
T47,Немедленно прекратите рассылку: клиентам уходят чужие документы.
T48,"Проект важный, но дедлайн пока не установлен."
T49,До закрытия приёма заявок осталось полчаса.
T50,Мне нужен новый пароль.
T51,Прямо сейчас помощь не требуется.
T52,"Нужен ответ сейчас, иначе мы потеряем бронь."
T53,"Сосед кричит о помощи, я не могу открыть дверь."
T54,Доставка задерживается уже неделю.
T55,Срочного ответа не жду.
T56,Пришлите данные как можно скорее.
T57,Завтра истекает срок действия пропуска.
T58,"Проверь сообщение, пожалуйста."
T59,"Вода поднимается, мы не можем выйти из подвала."
T60,Ваш ответ нужен для дальнейшей работы.
T61,"Оператор пишет «срочно», но причина не указана."
T62,Не забудь оплатить счёт до пятницы.
T63,"Сработала пожарная сигнализация, подтвердите эвакуацию."
T64,"Желательно получить документы сегодня, но можно завтра."
T65,Без подписи работа стоит.
T66,"Сделайте, пожалуйста, немедленно."
T67,В инструкции написано: «При утечке срочно перекройте кран».
T68,Мы планируем заменить оборудование осенью.
T69,"Пять минут до отключения, сохраните базу!"
T70,"Ускорьте рассмотрение, пожалуйста."
T71,Нужно обсудить одну неприятную ситуацию.
T72,"Позвони до начала операции, она через десять минут."
T73,"Публикация запланирована на завтра, текст ещё не готов."
T74,"Не беспокойтесь, опасности нет, ответьте на неделе."
T75,"Требую ответа немедленно, ждать больше не намерен."
T76,"Если возможно, пришлите сегодня до 17:00."
T77,Тревога учебная. Продолжайте работать.
T78,"В розетке искры, помогите выключить электричество."
T79,Вопрос на контроле руководителя.
T80,Скорее бы уже согласовали отпуск.
T81,"Срочно продам диван, самовывоз в течение месяца."
T82,"До заседания час, без справки меня не допустят."
T83,Коллега просил срочно ответить ему вчера.
T84,"Пожалуйста, не откладывайте это надолго."
T85,"Жду ответ до конца рабочего дня, иначе отправлю без согласования."
T86,"Срочно не значит сегодня, можно на следующей неделе."
T87,Остановите станок: человек попал в рабочую зону.
T88,"Помогите восстановить доступ, экзамен уже идёт."
T89,Давайте вернёмся к вопросу после праздников.
T90,"Срочно? Нет, просто хотел уточнить цену."
