id,label,reason
T06,0,Обычный завтрашний срок без ускорения
T07,0,Эмоциональное ожидание само по себе недостаточно
T10,1,Побыстрее прямо включено в положительные критерии
T15,1,Рекламная срочность тоже является действующим требованием
T16,0,Сегодня без отдельной безотлагательности
T17,1,Происходящая остановка обслуживания клиентов
T18,0,Обычная просьба о помощи без срока
T19,1,Рекламный призыв действовать прямо сейчас
T22,0,Дневной дедлайн без известного текущего времени
T26,1,Прямое слово срочно независимо от темы
T27,0,Истёкший срок без требования ускорить текущий ответ
T31,1,Первым делом входит в положительные критерии
T32,1,Маркетинговый призыв действовать сейчас
T33,0,Жалоба на длительность без описания текущей аварии
T35,0,Мягкое предпочтение на сегодня
T38,1,При первой возможности является явным требованием ускорения
T41,1,Срочность о песне учитывается независимо от последствий
T44,0,Повторная просьба не задаёт срочность автоматически
T45,1,Как увидишь сообщение задаёт немедленное действие
T46,0,Условное пожелание на сегодня
T49,1,Полчаса до закрытия возможности достаточно по инструкции
T50,0,Потребность в пароле без требования ускорить
T54,0,Длительная задержка без текущего требования
T56,1,Как можно скорее прямо задаёт ускорение
T57,0,Обычный завтрашний срок без обозначенной потери
T60,0,Общая зависимость дальнейшей работы недостаточна
T61,0,Пересказ чужого слова без присоединения автора
T65,?,Прямой пограничный пример инструкции без вида работы и последствий
T66,1,Немедленно является явной безотлагательностью
T70,1,Прямое требование ускорить рассмотрение
