id,label,reason
T06,0,"Нет отдельного сигнала ускорения: план, ожидание или пересказ."
T07,0,"Нет отдельного сигнала ускорения: план, ожидание или пересказ."
T10,1,"Действующее требование ускорения, короткий срок либо авария по общей инструкции."
T15,1,"Действующее требование ускорения, короткий срок либо авария по общей инструкции."
T16,0,"Нет отдельного сигнала ускорения: план, ожидание или пересказ."
T17,1,"Действующее требование ускорения, короткий срок либо авария по общей инструкции."
T18,0,"Нет отдельного сигнала ускорения: план, ожидание или пересказ."
T19,1,"Действующее требование ускорения, короткий срок либо авария по общей инструкции."
T22,0,"Нет отдельного сигнала ускорения: план, ожидание или пересказ."
T26,1,"Действующее требование ускорения, короткий срок либо авария по общей инструкции."
T27,0,"Нет отдельного сигнала ускорения: план, ожидание или пересказ."
T31,1,"Действующее требование ускорения, короткий срок либо авария по общей инструкции."
T32,1,"Действующее требование ускорения, короткий срок либо авария по общей инструкции."
T33,0,"Нет отдельного сигнала ускорения: план, ожидание или пересказ."
T35,0,"Нет отдельного сигнала ускорения: план, ожидание или пересказ."
T38,1,"Действующее требование ускорения, короткий срок либо авария по общей инструкции."
T41,1,"Действующее требование ускорения, короткий срок либо авария по общей инструкции."
T44,0,"Нет отдельного сигнала ускорения: план, ожидание или пересказ."
T45,1,"Действующее требование ускорения, короткий срок либо авария по общей инструкции."
T46,0,"Нет отдельного сигнала ускорения: план, ожидание или пересказ."
T49,1,"Действующее требование ускорения, короткий срок либо авария по общей инструкции."
T50,0,"Нет отдельного сигнала ускорения: план, ожидание или пересказ."
T54,0,"Нет отдельного сигнала ускорения: план, ожидание или пересказ."
T56,1,"Действующее требование ускорения, короткий срок либо авария по общей инструкции."
T57,0,"Нет отдельного сигнала ускорения: план, ожидание или пересказ."
T60,0,"Нет отдельного сигнала ускорения: план, ожидание или пересказ."
T61,0,"Нет отдельного сигнала ускорения: план, ожидание или пересказ."
T65,?,Остановка работы без ясного актуального требования и последствий.
T66,1,"Действующее требование ускорения, короткий срок либо авария по общей инструкции."
T70,1,"Действующее требование ускорения, короткий срок либо авария по общей инструкции."
