id,text,annotator_a,annotator_b,annotator_c,disagreement
T01,"Срочно перезвони, из трубы льётся вода.",1,1,1,0
T02,"Пожалуйста, пришли файл до конца недели.",0,0,0,0
T03,"Если не ответите за пять минут, заявка закроется.",1,1,1,0
T04,"Когда будет удобно, посмотри мой черновик.",0,0,0,0
T05,"Помогите сейчас, ребёнок заперт в лифте.",1,1,1,0
T06,"Напоминаю, завтра сдаём отчёт.",?,0,0,2
T07,Очень жду вашего решения.,?,0,0,2
T08,Нужно немедленно отключить питание.,1,1,1,0
T09,На следующем собрании обсудим бюджет.,0,0,0,0
T10,Мне бы получить ответ побыстрее.,?,1,1,2
T11,Пожар! Вызывайте спасателей!,1,1,1,0
T12,Отправьте договор в течение месяца.,0,0,0,0
T13,"У нас осталось десять минут до вылета, где водитель?",1,1,1,0
T14,"Не спешите, вопрос терпит.",0,0,0,0
T15,СРОЧНО: купите новую коллекцию до воскресенья!,0,1,1,2
T16,Можешь зайти ко мне сегодня?,?,0,0,2
T17,"Система остановилась, клиенты не могут оплатить заказ.",1,1,?,2
T18,Нужна помощь с таблицей.,?,0,0,2
T19,"Остался последний билет, бронируйте прямо сейчас.",0,1,1,2
T20,Прошу ответить в установленный срок.,0,0,0,0
T21,"Кровь не останавливается, что делать?",1,1,1,0
T22,Жду комментарии до 18:00 сегодня.,?,0,?,2
T23,Это важно для меня.,0,0,0,0
T24,Без вашего подтверждения через минуту удалится архив.,1,1,1,0
T25,"Почините принтер, когда освободитесь.",0,0,0,0
T26,Мне срочно нужен совет по выбору обоев.,?,1,1,2
T27,"Срок оплаты истёк вчера, сообщите дату перевода.",?,0,?,2
T28,Мы готовы подождать до следующей недели.,0,0,0,0
T29,"Дверь заклинило, в комнате пахнет дымом.",1,1,1,0
T30,"Уточните, пожалуйста, расписание.",0,0,0,0
T31,Сделай это первым делом утром.,?,1,1,2
T32,Сейчас или никогда: скидка на подписку!,0,1,1,2
T33,Не могу войти в аккаунт второй день.,?,0,?,2
T34,"Врач сказал обратиться немедленно, помогите записаться.",1,1,1,0
T35,Сегодня было бы хорошо закончить.,?,0,0,2
T36,"Завтра в 9 встреча, добавь её в календарь.",0,0,0,0
T37,"Сервер падает, до начала трансляции три минуты.",1,1,1,0
T38,Ответьте при первой возможности.,?,1,1,2
T39,"Не срочно, но до обеда желательно.",0,0,0,0
T40,В отделе говорят: «Срочно всё переделать». Я пока жду решения.,0,0,0,0
T41,СРОЧНО!!! Как называется эта песня?,?,1,1,2
T42,Справка нужна через два месяца.,0,0,0,0
T43,Уберите машину: она перекрывает проезд скорой.,1,1,1,0
T44,Третий раз прошу прислать акт.,?,0,0,2
T45,"Перезвони, как увидишь сообщение.",?,1,1,2
T46,"Если успеешь сегодня, будет здорово.",?,0,0,2
T47,Немедленно прекратите рассылку: клиентам уходят чужие документы.,1,1,1,0
T48,"Проект важный, но дедлайн пока не установлен.",0,0,0,0
T49,До закрытия приёма заявок осталось полчаса.,1,?,?,2
T50,Мне нужен новый пароль.,?,0,0,2
T51,Прямо сейчас помощь не требуется.,0,0,0,0
T52,"Нужен ответ сейчас, иначе мы потеряем бронь.",1,1,1,0
T53,"Сосед кричит о помощи, я не могу открыть дверь.",1,1,1,0
T54,Доставка задерживается уже неделю.,?,0,0,2
T55,Срочного ответа не жду.,0,0,0,0
T56,Пришлите данные как можно скорее.,?,1,1,2
T57,Завтра истекает срок действия пропуска.,?,0,?,2
T58,"Проверь сообщение, пожалуйста.",0,0,0,0
T59,"Вода поднимается, мы не можем выйти из подвала.",1,1,1,0
T60,Ваш ответ нужен для дальнейшей работы.,?,0,?,2
T61,"Оператор пишет «срочно», но причина не указана.",0,?,0,2
T62,Не забудь оплатить счёт до пятницы.,0,0,0,0
T63,"Сработала пожарная сигнализация, подтвердите эвакуацию.",1,1,1,0
T64,"Желательно получить документы сегодня, но можно завтра.",0,0,0,0
T65,Без подписи работа стоит.,?,1,?,2
T66,"Сделайте, пожалуйста, немедленно.",?,1,1,2
T67,В инструкции написано: «При утечке срочно перекройте кран».,0,0,0,0
T68,Мы планируем заменить оборудование осенью.,0,0,0,0
T69,"Пять минут до отключения, сохраните базу!",1,1,1,0
T70,"Ускорьте рассмотрение, пожалуйста.",?,1,1,2
T71,Нужно обсудить одну неприятную ситуацию.,?,0,0,2
T72,"Позвони до начала операции, она через десять минут.",1,1,1,0
T73,"Публикация запланирована на завтра, текст ещё не готов.",?,?,?,0
T74,"Не беспокойтесь, опасности нет, ответьте на неделе.",0,0,0,0
T75,"Требую ответа немедленно, ждать больше не намерен.",?,1,1,2
T76,"Если возможно, пришлите сегодня до 17:00.",?,0,0,2
T77,Тревога учебная. Продолжайте работать.,0,0,0,0
T78,"В розетке искры, помогите выключить электричество.",1,1,1,0
T79,Вопрос на контроле руководителя.,0,0,0,0
T80,Скорее бы уже согласовали отпуск.,0,0,0,0
T81,"Срочно продам диван, самовывоз в течение месяца.",0,?,0,2
T82,"До заседания час, без справки меня не допустят.",1,1,1,0
T83,Коллега просил срочно ответить ему вчера.,0,0,0,0
T84,"Пожалуйста, не откладывайте это надолго.",?,1,1,2
T85,"Жду ответ до конца рабочего дня, иначе отправлю без согласования.",1,?,?,2
T86,"Срочно не значит сегодня, можно на следующей неделе.",0,0,0,0
T87,Остановите станок: человек попал в рабочую зону.,1,1,1,0
T88,"Помогите восстановить доступ, экзамен уже идёт.",1,1,1,0
T89,Давайте вернёмся к вопросу после праздников.,0,0,0,0
T90,"Срочно? Нет, просто хотел уточнить цену.",0,0,0,0
