kind,mode,status,true_positive,predicted,actual,precision,recall
baseline,A,both,1,4,2,0.25,0.5
baseline,A,insufficient,2,3,2,0.6666666666666666,1.0
baseline,B,both,2,6,2,0.3333333333333333,1.0
baseline,B,insufficient,2,2,2,1.0,1.0
baseline,C,both,2,5,2,0.4,1.0
baseline,C,insufficient,2,3,2,0.6666666666666666,1.0
contradiction,A,both,10,10,10,1.0,1.0
contradiction,A,insufficient,2,2,2,1.0,1.0
contradiction,B,both,10,11,10,0.9090909090909091,1.0
contradiction,B,insufficient,1,1,2,1.0,0.5
contradiction,C,both,9,9,10,1.0,0.9
contradiction,C,insufficient,2,2,2,1.0,1.0
deletion,A,both,0,1,0,0.0,
deletion,A,insufficient,3,3,4,1.0,0.75
deletion,B,both,0,3,0,0.0,
deletion,B,insufficient,1,1,4,1.0,0.25
deletion,C,both,0,3,0,0.0,
deletion,C,insufficient,0,0,4,,0.0
permutation,A,both,2,6,2,0.3333333333333333,1.0
permutation,A,insufficient,1,5,2,0.2,0.5
permutation,B,both,2,6,2,0.3333333333333333,1.0
permutation,B,insufficient,2,2,2,1.0,1.0
permutation,C,both,2,5,2,0.4,1.0
permutation,C,insufficient,2,3,2,0.6666666666666666,1.0
