id,text,label
random_18489,Бесят жлобы!,negative
random_19420,"я прекрасно понимаю что на мои посты нихера отвечать ни кто не должен...я их сам для себя хуярю и не на что не надеюсь...вобщем протележу в очередной раз...сегодня одна тётка увидев мою несвежую морду сообщила ""я бы затакого свою дочь бы не отдала""..я ей озвучил примерно десяток вопросов)...уложились мы с ней в две станции метро...1 - я тут едя в метро вообщето не на выдане себя позиционирую а как бы на работе находясь))...2е - я ни одним глазом ещё не видел все ответы на мои молитвы...тобеш вашу дочь)...и вовсе не известно ктоб кого выбирал...3-е...тёща попалась такая, что похеру как выглядит дочь...её лучше не трогать...и дочь и мать)...4-е...с какого хуя она вообще решила что меня интерересует сейчас чьято дочь)...мы все чьито сыновья и дочери ...и что с того?",negative
random_08350,"Разве можно сидеть дома, когда в мире есть такие двери? 

Двери Бамберга и Ротенбурга",neutral
random_08199,новый рисунок | model - [id27103833|Яна Берман],neutral
random_12823,как называть подписчиков,neutral
random_17976,Наша группировка😎,neutral
random_12459,Вано учись ;))),neutral
random_04312,"самый божественный и неземной трек 2010!!! 
просто таю))",positive
random_06915,мзфк надо кота идти кормить!((  А сколько коты могут не есть?,neutral
random_16471,Ура!!! Первая медаль сборной России!!! Ольга Граф в конькобежном спорте на дистанции 3000 м. вырвала бронзу!!!,positive
random_02078,сучька ты Машка!!!,negative
random_13769,"Самое приятное – это когда хорошего не ждешь, а оно берет и случается.",positive
random_14087,"Я победитель!

УРА! Я занял 74977 место в главном крысином турнире и выиграл кучу клёвых призов! Готов посоревноваться со мной?",neutral
random_03378,"Это каким нужно быть мудаком, чтобы врубить в 7 утра Кадышеву и гонять ее на весь подъезд до сих пор???",negative
random_06800,"116.04.25.8. Можно убежать хоть на луну, только толку с этого?! От себя не убежишь.",negative
random_20159,Я сделал себе аватар в этом приложении,neutral
random_08904,"Эти ты еще не слышала, атвичяю :3",neutral
random_09631,"Меня не посадили,я живой!Занят,дела нормально!",positive
random_01284,Я и мое милое солнце))*****,positive
random_16416,"работаю в ""Газпроме"")) -все четко, нравится!!",positive
random_11912,Ах Генри Форд зачем же ты придумал коневеер (((,negative
random_03329,"ой, ребята ) да мы умнички ))**",positive
random_10921,Новый ХИТ Евровидения!,neutral
random_03733,Ты стал дохуя байкером или показалось ?,negative
random_05836,"ботаник детектед :D
 меня пробило на флуд :3",neutral
random_15161,"Еще один год пролетел безвозвратно,
Его проводили мы вместе с тобой.
Мне рядом с тобою легко и приятно,
В глазах твоих вижу простор голубой.

Наташка, Наташка, я словно мальчишка,
В тебя, дорогая, влюблён.
Наташка, Наташка, такая интрижка-
Твоей красотою пленён.

И сколько бы не было прожито вёсен,
Тебя все равно я люблю.
Для нас наступила прекрасная осень.
Я каждый её миг ловлю.

Наташка, Наташка, я словно мальчишка,
В тебя, дорогая, влюблён.
Наташка, Наташка, такая интрижка-
Твоей красотою пленён.",positive
random_03117,а как те эта?)))),neutral
random_15231,"Операция прошла успешно. 😊 
Пациент передает всем привет и спасибо.
Следующая операция в начале следующей недели.

п.с. Аппетит у человека проснулся зверский. 😉",positive
random_09460,"Каждый раз, когда ты отдаляешься от одной проблемы, ты приближаешься к другой.",negative
random_04696,"МАКСИМАЛЬНЫЙ РЕПОСТ! 

В наше агентство шоу-форумов Prime Time требуется Истинный Гений Дизайна! 

Кстати! Если по Вашей рекомендации мы наймем дизайнера, то вы получите бесплатно билет 3 наших события:
Российскую Неделю Рекламы 
Российскую Неделю Продаж 
Российскую Неделю Менеджмента ",neutral
random_08027,Час до премьеры.... Мандраж... Такой знакомый и такой желанный... ))),positive
random_05214,дернуть бы куда из депрессии.,negative
random_08504,"Женя, хочу познакомить тебя со своей подругой! Она тебе понравится. Узнай кто это: ",neutral
random_13175,"Это был самый лучший отряд!:) Спасибо вам, ребята!:)",positive
random_04343,это так смешно)))),positive
random_02363,"Говори то, что думаешь.Близкие - поймут.Лишние - уйдут.",neutral
random_02837,тебе фантик))))),neutral
random_18219, кто хочет за 3 дня на 3 заработать 28 000 ? Работать надо маляром.,neutral
random_20938,У вас есть final fantasy 13 запечатанная?,neutral
random_17857,"Отличная погода для прогулок 🌞 Тёмка насмотрелся на лыжников и бордистов ⛷🏂, накопался в снегу и проспал всю дорогу туда и обратно😴 @ Иня, Горнолыжный Комплекс",positive
random_06221,это точно),neutral
random_19939,"Что-то жопа у вас,собирался приехать сегодня,но предумал,увидев заваленные по крышу машины xD",negative
random_03010,Дедушки-пенсионеры),neutral
random_01768,Расти Бицуха! Расти!,neutral
random_06880,Без второй совы скучно(,negative
random_15240,Как это ты В контакт попал!?,neutral
random_19076,"Ехал в маршрутке вчера. Наша 64-я подрезала на остановке 29-ю. Остановились, смотрю, выходит водитель из 29-й, думаю, сейчас начнется ругань-перебранка на отеческом. А прошло все очень цивильно, хоть и на повышенных тонах. Ни одного матершинного слова.",positive
random_11285,самые крутые из этого топа :Р,positive
random_00481,"Второй вечер подряд со мной Гарри Поттер!:3
Oh, my God! I'm happy!! ^^",positive
random_08582,"Сегодня умрёшь, завтра скажут - поэт!.. (с) ЧайФ",neutral
random_14256,На новых территориях Москвы боятся «понаехавших»,neutral
random_15143,"Ну вот, собствнно",neutral
random_06518,Мне сегодня подарили телефон просто так 😊🙏,positive
random_03390,"""с 1 июня 2014 года сигареты перестанут продавать в киосках, в кафе и ресторанах не будет залов для курящих, покурить больше не удастся и на территории гостиниц, платформах электричек, рынках и многих других людных местах. Сумма штрафа достигнет 1,5 тыс. рублей."" 
Неужели и правда можно будет свободно заходить в кафе, не натыкаясь на вонючих дымящих свиней?! Скорей бы лето)))",positive
random_20537,Помогу отправить вещи родным и близким в города России,neutral
random_19552,beautycycle Земля: Система средств для восстановления баланса кожи,neutral
random_04104,Джентельмены! Тир это прекрасно!))),positive
random_07761,Побудь дома)),neutral
random_13734,"Давайте, петушки, победите :)",positive
random_07520,И так! Помидоры с сахаром - это нормально?,neutral
random_05574,"слёзы мои,капайте вниз....боль моя сожри меня.....печаль моя соси хуя.....вера моя ,веди меня......жизнь моя-сожги меня",negative
random_02688,не надо меня поздравлять с сегодняшним праздником я мусульманин))),neutral
random_20878,"История одного чеченца, которого даже пытки не сделали боевиком

Очень много букв, но время потратить стоит. Демотиваторы утверждают, что эту страну не победить, а я думаю - она сама себя уже победила. Этой стране не выжить",negative
random_01270,Тебя марина за такие картинки опять отлупит!!! камикадзэ херов))),negative
random_16633,Павел Воля))),neutral
random_20198,"ну вот все, даже ИСТОРИЯ ЯЗЫКА не смогла устоять перед моим обоянием)))",positive
random_17913,На улице какая-то нереальная печалька),negative
random_19403,чем бы заняться !,neutral
random_14846,малиновый орбит,neutral
random_07195,А вот и весна.,positive
random_20871,по олдскулу),neutral
random_02965,Довыебывался.,negative
random_13914,"Уезжаю в хмельницкий,буду в пятницу",neutral
random_14073,что у тебя случилось почему гипсован?(,negative
random_10691,"Цель № 29 ,,Пробежать 10 км,, реализована!",positive
random_18739,"Пускай лучше будет стыдно утром, чем скучно вечером...",neutral
random_01048,"МИЛЫЕ ДЕВУШКИ ОГРОМНЫЙ ВЫБОР ТОВАРА, 
ОТПРАВКА 4 РАЗА В НЕДЕЛЮ, 
ДОСТАВКА НОВОЙ ИЛИ УКР ПОЧТОЙ
ПОСТОЯННОЕ ОБНОВЛЕНИЕ ТОВАРА И АКЦИИ!!!!!!!!

      ",neutral
random_11339,берлин зовёт !!!! самый лучший фильм!,positive
random_11153,Забытые имена. Глава 189. Napier. Часть 1,neutral
random_20132,"Театр уж полон, ложи блещут @ Большой театр / Bolshoi Theatre ",neutral
random_21184,"невозможно обижаться на человека,который заставляет улыбаться..*♥",positive
random_16441,Всегда готов! ,neutral
random_01709,"Сеанс связи Оксфорд- Краснодар. Люблю тебя, киса.",positive
random_07176,"Хотел подарить себе на Старый Новый год приличный скутер, но пока даже выбрать толком не смог. От вариантов с китайцами постепенно перешел к дорогим корейцам и японцам: на кону Kymco и Suzuki (по 125сс). Хотя морально сложновато решиться на такие траты...",neutral
random_01744,"Когда нет друзей, день рождения отмечают в ночном клубе.
 Фредерик Бегбедер",neutral
random_16123,"Мир невесомых слов, очень глупых людей.",negative
random_01133,вот это я понимаю😉,positive
random_13524,<----Это просто не реально....,neutral
random_01427,Говорухин однако заговорился ужО......,negative
random_15159,"Концерт ""Lumen""-это сейчас то,что позволяет мне двигаться вперед!",positive
random_01930,"Я хочу духи с запахом счастья, тушь цвета радости и крем с ощущением любви!",positive
random_10285,Ништяк клипак?,neutral
random_03941,"Сергей, узнай всю правду о себе здесь:
 ♥♥♥  ♥♥♥",neutral
random_10382,СРОЧНО НУЖНО НА ПОНЕДЕЛЬНИК 10 ЧЕЛОВЕК НА ЗАВОД ЭЛЕКТРОЛЮКС!!!!!!!!!!!!!,neutral
random_10813,вот она)))),neutral
random_13329,Смотреть онлайн Ночь страха (2011) бесплатно без регистрации,neutral
random_11949,"Сем остановок молча, под проливным дождём...Наблюдая, за серым городом чего-то ждём.",neutral
random_03901,"Демотиваторы, часть 203. (89 фото) , фото # 34",neutral
random_15636,Летние ночи),positive
random_10713,МудылО ты де?:D,negative
random_10879,Брильянтова рука😆😂😎😎selfie😱,neutral
random_14539,моя рыбка :*,positive
random_06813,вид с горы на наш отель,neutral
random_14344,"Как сообщает анонимный источник, в Бресте был замечен Гарик Сукачев #новостиБреста",neutral
random_16743,Так вот ты какой - настоящий Литтл Рок!,neutral
random_16898,"Ты очень похож на Брюса Уиллиса! А на кого похож я? - 
",neutral
random_11457,хотелось бы)),positive
random_00072,Я поссал на первый снег =DDя собой теперь доволен =DD пхахахаххаха))**,positive
random_07147,Нахуй тебе кот зеленого цвета?,neutral
random_10838,"261 ГРУППА, ВНИМАНИЕ!!! вот требования по практике!
18 июня всем в университет - защита практики!!!",neutral
random_06300,дааааааааааааааааааа=))),positive
random_04620,смотри фул скрин),neutral
random_08996,"Когда скучаешь по близкому человеку, любая мелочь напоминает о нем.",positive
random_11757,вот в чьом соль,neutral
random_17701,"Кукуськи, мои любимые))* Люблю вас))*",positive
random_09153,Задай мне вопрос | ask.fm/Gover1488,neutral
random_03868,Фаенза вообще крутяк такой!,positive
