id,label,reason
T01,1,Прямое срочное требование и текущая авария
T02,0,Обычный недельный срок
T03,1,Пять минут до последствия
T04,0,Действие в удобное время
T05,1,Помощь сейчас при текущей опасности
T06,0,Напоминание о завтрашнем плане
T07,0,Сильное ожидание без ускорения
T08,1,Прямое требование немедленного действия
T09,0,Будущее собрание
T10,1,Просьба ускорить получение ответа
T11,1,Пожар и немедленный вызов помощи
T12,0,Длительный обычный срок
T13,1,До вылета десять минут
T14,0,Явное разрешение не спешить
T15,1,Явно выраженная рекламная срочность
T16,0,Сегодня без приоритета и немедленности
T17,1,Активная остановка оплаты требует вмешательства
T18,0,Просьба без временного ограничения
T19,1,Призыв бронировать прямо сейчас
T20,0,Обычное соблюдение срока
T21,1,Продолжающаяся опасность и просьба помочь
T22,0,Дневной срок без известного текущего времени
T23,0,Важность не задаёт срочность
T24,1,Через минуту необратимое последствие
T25,0,Разрешено ждать освобождения
T26,1,Автор прямо обозначает срочность
T27,0,Просрочка в прошлом без требования немедленно
T28,0,Явно готовы ждать неделю
T29,1,Текущая опасность и невозможность выйти
T30,0,Обычная просьба уточнить
T31,1,Требование первого приоритета утром
T32,1,Рекламный призыв сейчас
T33,0,Длительная проблема без просьбы ускорить
T34,1,Актуальная просьба реализовать немедленное обращение
T35,0,Мягкое пожелание на сегодня
T36,0,Время встречи не срок немедленного действия
T37,1,Активный сбой за три минуты до события
T38,1,Просьба при первой возможности задаёт приоритет
T39,0,Срочность прямо отрицается
T40,0,Чужая цитата и ожидание решения
T41,1,Явная срочность без обязательной причины
T42,0,Два месяца позволяют обычное ожидание
T43,1,Перекрыт проезд экстренной помощи
T44,0,Повторность просьбы без временного требования
T45,1,Действие сразу после получения сообщения
T46,0,Необязательная просьба на сегодня
T47,1,Немедленно прекратить текущую утечку
T48,0,Важность без срока
T49,?,Короткий срок без явного обращения или описания необходимого действия
T50,0,Потребность без срочности
T51,0,Помощь сейчас явно не требуется
T52,1,Ответ сейчас иначе потеря брони
T53,1,Происходящая угроза и невозможность помочь
T54,0,Задержка в прошлом без требования ускорения
T55,0,Срочный ответ отрицается
T56,1,Явная просьба как можно скорее
T57,0,Завтрашний срок сам по себе не немедленный
T58,0,Обычная просьба
T59,1,Нарастающая опасность и блокированный выход
T60,0,Зависимость работы без явной остановки или приоритета
T61,?,Чужое срочное сообщение без ясного актуального требования автора
T62,0,Плановый срок до пятницы
T63,1,Сигнализация и актуальная эвакуация
T64,0,Допускается ожидание до завтра
T65,1,Активная остановка работы из-за подписи
T66,1,Прямое немедленное требование
T67,0,Условная инструкция не описывает текущую утечку
T68,0,Долгосрочный план
T69,1,Пять минут до отключения и призыв сохранить
T70,1,Прямое требование ускорить
T71,0,Неприятность без срочного времени
T72,1,Десять минут до операции
T73,?,Близкий срок и неготовность но объём оставшейся работы неизвестен
T74,0,Опасность отрицается и разрешено ждать неделю
T75,1,Прямое требование немедленного ответа
T76,0,Условная просьба в течение дня
T77,0,Учебная тревога и сохранение обычной работы
T78,1,Текущая электрическая опасность
T79,0,Контроль руководителя не задаёт срочный срок
T80,0,Эмоциональное желание без обращения ускорить
T81,?,Слово срочно конфликтует с разрешённым месяцем
T82,1,Час до потери допуска
T83,0,Прошлое чужое обращение
T84,1,Просьба не откладывать выражает ускорение
T85,?,Последствие связано с дневным сроком но неизвестно насколько он близок
T86,0,Автор явно разъясняет допустимость недельного ожидания
T87,1,Немедленное действие при текущей опасности
T88,1,Необходимое действие для уже идущего экзамена
T89,0,Отложенное обсуждение
T90,0,Срочность явно отвергается
