id,text,label,category
stress_001,"Не ожидал, что концерт окажется настолько прекрасным.",positive,negation
stress_002,Этот ремонт меня совсем не порадовал.,negative,negation
stress_003,"Посылку сегодня не доставляли, доставка назначена на завтра.",neutral,negation
stress_004,Не могу не похвалить официанта: обслужил отлично.,positive,negation
stress_005,"Нельзя сказать, что фильм хороший: скука от начала до конца.",negative,negation
stress_006,В понедельник библиотека не работает.,neutral,negation
stress_007,"Ни разу не пожалел о покупке, чудесная вещь.",positive,negation
stress_008,"Сервис не просто медленный, он отвратительный.",negative,negation
stress_009,"Погода не испортила праздник, день получился замечательный.",positive,negation
stress_010,"На встрече не было директора, присутствовал заместитель.",neutral,negation
stress_011,Не рекомендую эту кашу: совершенно невкусная.,negative,negation
stress_012,"Было совсем не страшно, аттракцион отличный.",positive,negation
stress_013,"Никакой радости от поездки, сплошное разочарование.",negative,negation
stress_014,Документ не подписан и находится у секретаря.,neutral,negation
stress_015,Нельзя не восхититься этой выставкой.,positive,negation
stress_016,"Не верю обещаниям магазина, опять обманули.",negative,negation
stress_017,"Этот подарок вовсе не плох, я очень доволен.",positive,negation
stress_018,"Чай без сахара стоит столько же, сколько обычный.",neutral,negation
stress_019,"Проблему не решили, поддержка бесполезна.",negative,negation
stress_020,"Я не фанат оперы, но этот спектакль прекрасен.",positive,negation
stress_021,"Какой прекрастный вечер, я щаслив!",positive,typos
stress_022,"Ужастное абслуживание, больши не приду.",negative,typos
stress_023,Завтро сабрание в десять часов.,neutral,typos
stress_024,"Спосибо за падарок, очинь понравился.",positive,typos
stress_025,"Пакупка разачаровала, деньги на ветер.",negative,typos
stress_026,Пасылка прибыла на склад в пятницу.,neutral,typos
stress_027,"Атличный фильм, сматрел с удовольствием.",positive,typos
stress_028,"Блюдо пересолино, есть невозмжно.",negative,typos
stress_029,Автобус атходит от второва входа.,neutral,typos
stress_030,"Прекрасна справились, я в васторге!",positive,typos
stress_031,"Кашмарная гостиница, в номире грязь.",negative,typos
stress_032,В афише указано начяло в семь.,neutral,typos
stress_033,"Очень удобнй рюкзак, лутшая покупка.",positive,typos
stress_034,"Телефон сломалса сразу, просто ужас.",negative,typos
stress_035,Сылка на документ лежит в папке.,neutral,typos
stress_036,"Люблю этот парк, здес замечательно.",positive,typos
stress_037,"Раздражает этот шум, спать савсем нельзя.",negative,typos
stress_038,Отчот направлен на пачту отдела.,neutral,typos
stress_039,"Пирог получился вкустный, всем понравился.",positive,typos
stress_040,"Отвратитльная связь, разговор пастоянно обрывается.",negative,typos
stress_041,Вот это скорость: всего два часа в очереди за одной справкой.,negative,irony
stress_042,"Спасибо за заботу, отключили воду именно перед душем.",negative,irony
stress_043,Прекрасный отель: тараканы уже встретили у двери.,negative,irony
stress_044,"Гениальное приложение, падает при каждом нажатии.",negative,irony
stress_045,Ну и мастер: после ремонта кран течет еще сильнее.,negative,irony
stress_046,"Отличная доставка, разбитую кружку привезли точно в срок.",negative,irony
stress_047,"Люблю, когда обещанные пять минут превращаются в час ожидания.",negative,irony
stress_048,Суперски отдохнул: соседи сверлили всю ночь.,negative,irony
stress_049,"Какая удача, опять списали деньги дважды.",negative,irony
stress_050,Вот это свежесть: хлеб можно использовать вместо кирпича.,negative,irony
stress_051,"Блестящее выступление, микрофон молчал половину вечера.",negative,irony
stress_052,Клиентоориентированность на высоте: на жалобу просто заблокировали.,negative,irony
stress_053,Как здорово мерзнуть на остановке из-за отмененного автобуса.,negative,irony
stress_054,"Чудесная упаковка, все содержимое теперь на полу.",negative,irony
stress_055,Лучший будильник — пожарная сигнализация без причины в три ночи.,negative,irony
stress_056,Спасибо за чистоту: следы чужой обуви прямо на простыне.,negative,irony
stress_057,"Очень удобный сайт, нужную кнопку спрятали в шестом меню.",negative,irony
stress_058,Повар явно постарался: уголь вместо котлеты получился идеальный.,negative,irony
stress_059,"Вот это экономия времени, после онлайн-записи все равно три очереди.",negative,irony
stress_060,"Обожаю сюрпризы, особенно дополнительную комиссию после оплаты.",negative,irony
stress_061,"В анкете есть варианты «отлично», «ужасно» и «не знаю».",neutral,quotation
stress_062,Учитель записал на доске предложение «Я ненавижу дождь».,neutral,quotation
stress_063,"Друг сказал «скучный фильм», а я в восторге от просмотра.",positive,quotation
