kind,mode,question_id,status_changed,answer_changed,evidence_stability_f1,expected_status_correct,gold_status_changed,baseline_status_correct,joint_transition_correct
permutation,A,Q01,True,True,0.0,0,False,1,0
permutation,B,Q01,False,False,1.0,1,False,1,1
permutation,C,Q01,False,False,1.0,1,False,1,1
contradiction,A,Q01,True,True,0.0,1,True,1,1
contradiction,B,Q01,True,True,1.0,1,True,1,1
contradiction,C,Q01,True,True,1.0,1,True,1,1
permutation,A,Q02,True,False,1.0,0,False,1,0
permutation,B,Q02,False,False,1.0,1,False,1,1
permutation,C,Q02,False,False,1.0,1,False,1,1
contradiction,A,Q02,True,False,1.0,1,True,1,1
contradiction,B,Q02,True,False,1.0,1,True,1,1
contradiction,C,Q02,True,True,1.0,1,True,1,1
permutation,A,Q03,True,False,0.0,0,False,0,0
permutation,B,Q03,False,False,1.0,0,False,0,0
permutation,C,Q03,False,False,1.0,0,False,0,0
deletion,A,Q03,False,False,1.0,0,True,0,0
deletion,B,Q03,True,True,0.0,1,True,0,0
deletion,C,Q03,True,False,0.0,0,True,0,0
contradiction,A,Q03,False,False,0.4,1,True,0,0
contradiction,B,Q03,True,True,0.0,1,True,0,0
contradiction,C,Q03,True,False,0.0,1,True,0,0
permutation,A,Q04,True,True,1.0,0,False,1,0
permutation,B,Q04,False,False,1.0,1,False,1,1
permutation,C,Q04,False,False,1.0,1,False,1,1
deletion,A,Q04,True,True,0.0,1,True,1,1
deletion,B,Q04,True,True,0.0,0,True,1,0
deletion,C,Q04,True,True,0.0,0,True,1,0
contradiction,A,Q04,True,True,1.0,1,True,1,1
contradiction,B,Q04,True,True,1.0,1,True,1,1
contradiction,C,Q04,False,False,1.0,0,True,1,0
permutation,A,Q05,True,False,0.0,0,False,1,0
permutation,B,Q05,False,False,1.0,0,False,0,0
permutation,C,Q05,False,False,1.0,0,False,0,0
deletion,A,Q05,True,False,0.0,1,True,1,1
deletion,B,Q05,False,False,0.0,0,True,0,0
deletion,C,Q05,False,True,0.6666666666666666,0,True,0,0
contradiction,A,Q05,True,False,1.0,1,True,1,1
contradiction,B,Q05,False,False,1.0,1,True,0,0
contradiction,C,Q05,True,True,1.0,1,True,0,0
permutation,A,Q06,True,False,1.0,0,False,0,0
permutation,B,Q06,False,False,1.0,0,False,0,0
permutation,C,Q06,False,False,1.0,0,False,0,0
deletion,A,Q06,True,False,0.0,1,True,0,0
deletion,B,Q06,False,False,0.0,0,True,0,0
deletion,C,Q06,False,False,0.6666666666666666,0,True,0,0
contradiction,A,Q06,True,False,0.0,1,True,0,0
contradiction,B,Q06,False,False,1.0,1,True,0,0
contradiction,C,Q06,False,False,0.0,1,True,0,0
permutation,A,Q07,True,False,0.0,0,False,0,0
permutation,B,Q07,False,False,1.0,0,False,0,0
permutation,C,Q07,False,False,1.0,0,False,0,0
contradiction,A,Q07,False,False,0.6666666666666666,1,True,0,0
contradiction,B,Q07,False,False,1.0,1,True,0,0
contradiction,C,Q07,False,False,1.0,1,True,0,0
permutation,A,Q08,False,False,0.0,0,False,0,0
permutation,B,Q08,False,False,1.0,0,False,0,0
permutation,C,Q08,False,False,1.0,0,False,0,0
contradiction,A,Q08,False,False,0.6666666666666666,1,True,0,0
contradiction,B,Q08,False,False,1.0,1,True,0,0
contradiction,C,Q08,False,False,1.0,1,True,0,0
permutation,A,Q09,False,False,1.0,1,False,1,1
permutation,B,Q09,False,False,1.0,1,False,1,1
permutation,C,Q09,False,False,1.0,1,False,1,1
contradiction,A,Q09,False,False,0.6666666666666666,1,False,1,1
contradiction,B,Q09,False,False,0.6666666666666666,1,False,1,1
contradiction,C,Q09,False,False,0.0,1,False,1,1
permutation,A,Q10,True,False,0.0,1,False,0,0
permutation,B,Q10,False,False,1.0,1,False,1,1
permutation,C,Q10,False,False,1.0,1,False,1,1
contradiction,A,Q10,True,False,0.0,1,False,0,0
contradiction,B,Q10,False,False,0.6666666666666666,1,False,1,1
contradiction,C,Q10,False,False,0.6666666666666666,1,False,1,1
permutation,A,Q11,False,False,1.0,1,False,1,1
permutation,B,Q11,False,False,1.0,1,False,1,1
permutation,C,Q11,False,False,1.0,1,False,1,1
contradiction,A,Q11,False,False,1.0,1,False,1,1
contradiction,B,Q11,False,False,1.0,1,False,1,1
contradiction,C,Q11,False,False,1.0,1,False,1,1
permutation,A,Q12,True,False,0.0,0,False,1,0
permutation,B,Q12,False,False,1.0,1,False,1,1
permutation,C,Q12,False,False,1.0,1,False,1,1
contradiction,A,Q12,False,False,1.0,1,False,1,1
contradiction,B,Q12,True,False,0.0,0,False,1,0
contradiction,C,Q12,False,False,1.0,1,False,1,1
