id,text,annotator_a,annotator_b,annotator_c
T06,"Напоминаю, завтра сдаём отчёт.",0,0,0
T07,Очень жду вашего решения.,0,0,0
T10,Мне бы получить ответ побыстрее.,1,1,1
T15,СРОЧНО: купите новую коллекцию до воскресенья!,1,1,1
T16,Можешь зайти ко мне сегодня?,0,0,0
T17,"Система остановилась, клиенты не могут оплатить заказ.",1,1,1
T18,Нужна помощь с таблицей.,0,0,0
T19,"Остался последний билет, бронируйте прямо сейчас.",1,1,1
T22,Жду комментарии до 18:00 сегодня.,0,0,0
T26,Мне срочно нужен совет по выбору обоев.,1,1,1
T27,"Срок оплаты истёк вчера, сообщите дату перевода.",0,0,0
T31,Сделай это первым делом утром.,1,1,1
T32,Сейчас или никогда: скидка на подписку!,1,1,1
T33,Не могу войти в аккаунт второй день.,0,0,0
T35,Сегодня было бы хорошо закончить.,0,0,0
T38,Ответьте при первой возможности.,1,1,1
T41,СРОЧНО!!! Как называется эта песня?,1,1,1
T44,Третий раз прошу прислать акт.,0,0,0
T45,"Перезвони, как увидишь сообщение.",1,1,1
T46,"Если успеешь сегодня, будет здорово.",0,0,0
T49,До закрытия приёма заявок осталось полчаса.,1,1,1
T50,Мне нужен новый пароль.,0,0,0
T54,Доставка задерживается уже неделю.,0,0,0
T56,Пришлите данные как можно скорее.,1,1,1
T57,Завтра истекает срок действия пропуска.,0,0,0
T60,Ваш ответ нужен для дальнейшей работы.,0,0,0
T61,"Оператор пишет «срочно», но причина не указана.",0,0,0
T65,Без подписи работа стоит.,?,?,?
T66,"Сделайте, пожалуйста, немедленно.",1,1,1
T70,"Ускорьте рассмотрение, пожалуйста.",1,1,1
