id,text,label
random_06450,"Блииин,долго еще этот ужасный ветер будет??скоро крышу дома снесёт...",negative
random_09632,пьяненькие девочки))))))),neutral
random_00470,Спокойная хорошая песенка))) Обожаю её))),positive
random_13845,"Удачи нам завтра на коже!
Без нее никуда)",neutral
random_02768,И всё таки жизнь прекрасна!!=),positive
random_21260,у каждого есть своя зависимость...😍,neutral
random_09705,"Дорогие друзья, есть ли ВК какая-нибудь группа рыбинского фри-маркета? Есть желание пристроить несколько вещиц.",neutral
random_08530,Белорусская Ёлка :),neutral
random_13151,Я вспомнила)) сегодня 3 годика моему первому пирсингу)) утютютю))))) Миша сказал: давай купим ей подарок))),positive
random_00812,Фотогерой + Коллажи в стиле iPhone ★  vk.com/app1984864,neutral
random_05104,"Новый трек!слушайте,комментируйте,если понравилось добавляйте!)",neutral
random_01634,Не ждите чуда. Чудите сами!,positive
random_15417,Вместо свечей))),neutral
random_10801,"это только сильно одаренная я могла уронить рацию антенной вниз ((( и это за неделю до отпуска. естесно антенна сделала прощальное ""хрясь"" 
новую рацию купить не успеваю, буду клянчить по друзьям-горнолыжникам- пода-айте бедному неимущему пятачку-у-у рацию в горах поюза-а-ать",negative
random_07091,"Посвящается Ксюше Тарасевич:  

Между нами разница — семь лет,
Но с годами тоньше эти грани.
Мы взрослеем...(Не стареем, нет!😊
И поэтому друг к другу больше тянет.
Я знаю, нелегко найти таких, как ты, ДРУЗЕЙ.
Ты согреваешь сердце мне
улыбкою своей!
Всегда стараешься понять, утешить, подбодрить.
Печаль и радость ты со мной готова разделить.
Тебе доверить я могу заветные мечты...
Мне очень-очень повезло, что у меня есть Ты!",positive
random_05876,Ты теперь звезда!) посмотри ролик на первых секундах :)),positive
random_05842,"Когда выезжаешь, роднуля?))))))",neutral
random_12414,Варворство в Англии набирает немыслимых оборотов,neutral
random_05508,Самый лучший мастер сотворила сегодня вот такую красоту!)),positive
random_05295,"Lito Don't Stop 2014
Фильм фиолетовой команды + P.S.;)",neutral
random_03592,"В нотариальной конторе по адресу Коммунистический пр., 49 работает ТУПОРЫЛАЯ ОВЦА. Опасайтесь люди.",negative
random_05754,"Сборная гимназии, тем временем, чемпион Минска по ""Интеллектуальному многоборью"" (6-8 классы)",neutral
random_16876,"Вот так тебе)))
",neutral
random_02622,блин. может и мне с семьей в оппозицию податься. пусть нас покормят,negative
random_09597,"ладно я то хоть в полюс* 
а ты что:-катечка я сейчас сдесь написию,можно?можно?ну разреши катечка,ни кто не узнает*",neutral
random_20715,Бедная убивашка )))),neutral
random_08421,ава дрочная)ахха*,positive
random_14630,всё.я в печали(,negative
random_10687,"Так и быть, я готов сыграть следующего Джеймса Бонда",neutral
random_10643,А че интересуешся такими псами?,neutral
random_10147,"756э!ребяяят,я скучаю!))",positive
