id,text,annotator_a,annotator_b,annotator_c,disagreement,cause
T06,"Напоминаю, завтра сдаём отчёт.",?,0,0,2,deadline_context
T07,Очень жду вашего решения.,?,0,0,2,implicit_request
T10,Мне бы получить ответ побыстрее.,?,1,1,2,explicit_vs_justified
T15,СРОЧНО: купите новую коллекцию до воскресенья!,0,1,1,2,advertising
T16,Можешь зайти ко мне сегодня?,?,0,0,2,deadline_context
T17,"Система остановилась, клиенты не могут оплатить заказ.",1,1,?,2,implicit_request
T18,Нужна помощь с таблицей.,?,0,0,2,implicit_request
T19,"Остался последний билет, бронируйте прямо сейчас.",0,1,1,2,advertising
T22,Жду комментарии до 18:00 сегодня.,?,0,?,2,deadline_context
T26,Мне срочно нужен совет по выбору обоев.,?,1,1,2,explicit_vs_justified
T27,"Срок оплаты истёк вчера, сообщите дату перевода.",?,0,?,2,deadline_context
T31,Сделай это первым делом утром.,?,1,1,2,explicit_vs_justified
T32,Сейчас или никогда: скидка на подписку!,0,1,1,2,advertising
T33,Не могу войти в аккаунт второй день.,?,0,?,2,implicit_request
T35,Сегодня было бы хорошо закончить.,?,0,0,2,deadline_context
T38,Ответьте при первой возможности.,?,1,1,2,explicit_vs_justified
T41,СРОЧНО!!! Как называется эта песня?,?,1,1,2,explicit_vs_justified
T44,Третий раз прошу прислать акт.,?,0,0,2,implicit_request
T45,"Перезвони, как увидишь сообщение.",?,1,1,2,explicit_vs_justified
T46,"Если успеешь сегодня, будет здорово.",?,0,0,2,deadline_context
T49,До закрытия приёма заявок осталось полчаса.,1,?,?,2,deadline_context
T50,Мне нужен новый пароль.,?,0,0,2,implicit_request
T54,Доставка задерживается уже неделю.,?,0,0,2,implicit_request
T56,Пришлите данные как можно скорее.,?,1,1,2,explicit_vs_justified
T57,Завтра истекает срок действия пропуска.,?,0,?,2,deadline_context
T60,Ваш ответ нужен для дальнейшей работы.,?,0,?,2,implicit_request
T61,"Оператор пишет «срочно», но причина не указана.",0,?,0,2,quotation
T65,Без подписи работа стоит.,?,1,?,2,implicit_request
T66,"Сделайте, пожалуйста, немедленно.",?,1,1,2,explicit_vs_justified
T70,"Ускорьте рассмотрение, пожалуйста.",?,1,1,2,explicit_vs_justified
