id,label,reason
T01,1,Явная опасность либо близкий срок с последствиями задержки.
T02,0,Нет действующего безотлагательного запроса по определению A.
T03,1,Явная опасность либо близкий срок с последствиями задержки.
T04,0,Нет действующего безотлагательного запроса по определению A.
T05,1,Явная опасность либо близкий срок с последствиями задержки.
T06,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T07,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T08,1,Явная опасность либо близкий срок с последствиями задержки.
T09,0,Нет действующего безотлагательного запроса по определению A.
T10,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T11,1,Явная опасность либо близкий срок с последствиями задержки.
T12,0,Нет действующего безотлагательного запроса по определению A.
T13,1,Явная опасность либо близкий срок с последствиями задержки.
T14,0,Нет действующего безотлагательного запроса по определению A.
T15,0,Нет действующего безотлагательного запроса по определению A.
T16,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T17,1,Явная опасность либо близкий срок с последствиями задержки.
T18,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T19,0,Нет действующего безотлагательного запроса по определению A.
T20,0,Нет действующего безотлагательного запроса по определению A.
T21,1,Явная опасность либо близкий срок с последствиями задержки.
T22,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T23,0,Нет действующего безотлагательного запроса по определению A.
T24,1,Явная опасность либо близкий срок с последствиями задержки.
T25,0,Нет действующего безотлагательного запроса по определению A.
T26,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T27,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T28,0,Нет действующего безотлагательного запроса по определению A.
T29,1,Явная опасность либо близкий срок с последствиями задержки.
T30,0,Нет действующего безотлагательного запроса по определению A.
T31,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T32,0,Нет действующего безотлагательного запроса по определению A.
T33,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T34,1,Явная опасность либо близкий срок с последствиями задержки.
T35,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T36,0,Нет действующего безотлагательного запроса по определению A.
T37,1,Явная опасность либо близкий срок с последствиями задержки.
T38,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T39,0,Нет действующего безотлагательного запроса по определению A.
T40,0,Нет действующего безотлагательного запроса по определению A.
T41,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T42,0,Нет действующего безотлагательного запроса по определению A.
T43,1,Явная опасность либо близкий срок с последствиями задержки.
T44,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T45,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T46,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T47,1,Явная опасность либо близкий срок с последствиями задержки.
T48,0,Нет действующего безотлагательного запроса по определению A.
T49,1,Явная опасность либо близкий срок с последствиями задержки.
T50,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T51,0,Нет действующего безотлагательного запроса по определению A.
T52,1,Явная опасность либо близкий срок с последствиями задержки.
T53,1,Явная опасность либо близкий срок с последствиями задержки.
T54,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T55,0,Нет действующего безотлагательного запроса по определению A.
T56,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T57,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T58,0,Нет действующего безотлагательного запроса по определению A.
T59,1,Явная опасность либо близкий срок с последствиями задержки.
T60,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T61,0,Нет действующего безотлагательного запроса по определению A.
T62,0,Нет действующего безотлагательного запроса по определению A.
T63,1,Явная опасность либо близкий срок с последствиями задержки.
T64,0,Нет действующего безотлагательного запроса по определению A.
T65,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T66,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T67,0,Нет действующего безотлагательного запроса по определению A.
T68,0,Нет действующего безотлагательного запроса по определению A.
T69,1,Явная опасность либо близкий срок с последствиями задержки.
T70,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T71,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T72,1,Явная опасность либо близкий срок с последствиями задержки.
T73,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T74,0,Нет действующего безотлагательного запроса по определению A.
T75,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T76,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T77,0,Нет действующего безотлагательного запроса по определению A.
T78,1,Явная опасность либо близкий срок с последствиями задержки.
T79,0,Нет действующего безотлагательного запроса по определению A.
T80,0,Нет действующего безотлагательного запроса по определению A.
T81,0,Нет действующего безотлагательного запроса по определению A.
T82,1,Явная опасность либо близкий срок с последствиями задержки.
T83,0,Нет действующего безотлагательного запроса по определению A.
T84,?,Недостаточно контекста о сроке или последствиях; одного усилителя недостаточно.
T85,1,Явная опасность либо близкий срок с последствиями задержки.
T86,0,Нет действующего безотлагательного запроса по определению A.
T87,1,Явная опасность либо близкий срок с последствиями задержки.
T88,1,Явная опасность либо близкий срок с последствиями задержки.
T89,0,Нет действующего безотлагательного запроса по определению A.
T90,0,Нет действующего безотлагательного запроса по определению A.
