variant_id,kind,same_claim_ids,status_disagreement,c_minus_b_accuracy,c_minus_b_evidence_f1
Q01_baseline,baseline,True,False,0,0.0
Q01_permutation,permutation,True,False,0,0.0
Q01_contradiction,contradiction,True,False,0,0.0
Q02_baseline,baseline,True,False,0,0.0
Q02_permutation,permutation,True,False,0,0.0
Q02_contradiction,contradiction,True,False,0,0.0
Q03_baseline,baseline,True,True,0,-0.6666666666666666
Q03_permutation,permutation,True,True,0,-0.6666666666666666
Q03_deletion,deletion,True,True,-1,0.0
Q03_contradiction,contradiction,True,False,0,-0.6666666666666666
Q04_baseline,baseline,True,False,0,0.0
Q04_permutation,permutation,True,False,0,0.0
Q04_deletion,deletion,True,False,0,0.0
Q04_contradiction,contradiction,True,True,-1,0.0
Q05_baseline,baseline,True,True,0,0.33333333333333337
Q05_permutation,permutation,True,True,0,0.33333333333333337
Q05_deletion,deletion,True,True,0,0.0
Q05_contradiction,contradiction,True,False,0,0.5
Q06_baseline,baseline,True,False,0,0.0
Q06_permutation,permutation,True,False,0,0.0
Q06_deletion,deletion,True,False,0,0.0
Q06_contradiction,contradiction,True,False,0,0.0
Q07_baseline,baseline,True,False,0,0.5238095238095237
Q07_permutation,permutation,True,False,0,0.5238095238095237
Q07_contradiction,contradiction,True,False,0,0.5238095238095237
Q08_baseline,baseline,True,False,0,0.3214285714285715
Q08_permutation,permutation,True,False,0,0.3214285714285715
Q08_contradiction,contradiction,True,False,0,0.0
Q09_baseline,baseline,True,False,0,0.0
Q09_permutation,permutation,True,False,0,0.0
Q09_contradiction,contradiction,True,False,0,-1.0
Q10_baseline,baseline,True,False,0,0.0
Q10_permutation,permutation,True,False,0,0.0
Q10_contradiction,contradiction,True,False,0,0.0
Q11_baseline,baseline,True,False,0,0.0
Q11_permutation,permutation,True,False,0,0.0
Q11_contradiction,contradiction,True,False,0,0.0
Q12_baseline,baseline,True,False,0,0.0
Q12_permutation,permutation,True,False,0,0.0
Q12_contradiction,contradiction,True,True,1,0.0
