id,characters,tokens,sentences,exclamations,questions,uppercase_ratio
random_06450,69,14,1,0,2,0.01818181818181818
random_09632,25,9,1,0,0,0.0
random_00470,41,11,1,0,0,0.06451612903225806
random_13845,41,10,2,1,0,0.0625
random_02768,30,7,1,2,0,0.045454545454545456
random_21260,35,7,1,0,0,0.0
random_09705,111,17,2,0,1,0.043010752688172046
random_08530,19,3,1,0,0,0.13333333333333333
random_13151,107,28,1,0,0,0.02531645569620253
random_00812,55,13,1,0,0,0.08333333333333333
random_05104,63,12,1,2,0,0.01818181818181818
random_01634,27,7,2,1,0,0.09523809523809523
random_15417,16,5,1,0,0,0.08333333333333333
random_10801,276,45,1,0,0,0.0
random_07091,425,89,8,3,0,0.06382978723404255
random_05876,56,11,1,1,0,0.023255813953488372
random_05842,31,11,1,0,1,0.047619047619047616
random_12414,48,6,1,0,0,0.046511627906976744
random_05508,58,11,1,1,0,0.020833333333333332
random_05295,54,15,1,0,0,0.16666666666666666
random_03592,99,17,2,0,0,0.19753086419753085
random_05754,93,17,1,0,0,0.04054054054054054
random_16876,16,6,1,0,0,0.1
random_02622,67,14,1,0,0,0.0
random_09597,115,31,1,0,2,0.0
random_20715,20,6,1,0,0,0.07142857142857142
random_08421,17,5,1,0,0,0.0
random_14630,15,6,1,0,0,0.0
random_10687,52,10,1,0,0,0.06976744186046512
random_10643,31,6,1,0,1,0.038461538461538464
random_10147,24,10,1,2,0,0.0
random_03614,80,18,1,0,0,0.017543859649122806
random_18150,40,7,1,0,0,0.030303030303030304
random_04943,133,28,1,0,0,0.009345794392523364
random_20278,45,9,1,0,0,0.02702702702702703
random_03898,20,3,1,0,0,0.058823529411764705
random_19557,31,8,1,0,0,0.041666666666666664
random_16751,24,5,1,0,0,0.0625
random_06300,24,2,1,0,0,0.0
random_07578,10,4,1,0,0,0.14285714285714285
random_12165,18,2,1,0,0,0.058823529411764705
random_04312,56,11,1,3,0,0.0
random_13317,138,25,3,4,0,0.04504504504504504
random_06008,48,11,2,1,2,0.05405405405405406
random_01866,15,3,1,0,0,0.08333333333333333
random_04820,35,4,1,0,0,0.0
random_17846,53,11,1,0,0,0.02564102564102564
random_09026,44,8,1,0,0,0.02857142857142857
random_12485,24,5,1,0,0,0.3888888888888889
random_00515,38,11,1,0,0,0.0
random_07541,16,3,1,0,0,0.07692307692307693
random_16460,20,3,1,0,0,0.0
random_02229,49,9,1,0,0,0.024390243902439025
random_15516,60,15,1,0,1,0.021739130434782608
random_02973,38,9,2,1,0,0.10344827586206896
random_11348,27,6,1,0,0,0.0
random_01602,37,11,1,4,0,0.04
random_03177,37,6,1,0,0,0.03225806451612903
random_07279,53,7,1,0,0,0.0425531914893617
random_04053,60,11,3,0,0,0.06
random_10200,49,12,1,1,0,0.02702702702702703
random_20836,250,53,7,7,0,0.04568527918781726
random_11273,86,19,3,1,0,0.06060606060606061
random_09180,22,4,1,0,0,0.1111111111111111
random_05851,80,17,1,0,0,0.015625
random_04092,241,50,3,2,0,0.04395604395604396
random_10689,29,5,1,0,0,0.125
random_07247,20,3,1,0,0,0.0
random_09548,73,16,1,0,0,0.0
random_19447,47,14,1,0,0,0.2647058823529412
random_14179,109,19,1,0,0,0.08333333333333333
random_19882,13,3,1,0,0,0.125
random_19300,81,15,1,0,0,0.06060606060606061
random_10245,19,5,1,2,0,0.0
random_01703,136,28,2,4,0,0.01904761904761905
random_02021,14,3,1,0,0,0.08333333333333333
random_20723,107,21,1,0,0,0.012048192771084338
random_05378,132,27,1,3,0,0.009615384615384616
random_15882,25,6,1,0,0,0.0
random_20050,58,11,1,0,0,0.0
random_17405,48,12,2,0,0,0.0
random_09123,30,5,1,0,0,0.038461538461538464
random_14903,14,4,1,1,0,0.09090909090909091
random_02688,66,12,1,0,0,0.0
random_13832,342,62,1,0,0,0.04395604395604396
random_06437,17,3,1,0,0,0.0
