id,text
T06,"Напоминаю, завтра сдаём отчёт."
T07,Очень жду вашего решения.
T10,Мне бы получить ответ побыстрее.
T15,СРОЧНО: купите новую коллекцию до воскресенья!
T16,Можешь зайти ко мне сегодня?
T17,"Система остановилась, клиенты не могут оплатить заказ."
T18,Нужна помощь с таблицей.
T19,"Остался последний билет, бронируйте прямо сейчас."
T22,Жду комментарии до 18:00 сегодня.
T26,Мне срочно нужен совет по выбору обоев.
T27,"Срок оплаты истёк вчера, сообщите дату перевода."
T31,Сделай это первым делом утром.
T32,Сейчас или никогда: скидка на подписку!
T33,Не могу войти в аккаунт второй день.
T35,Сегодня было бы хорошо закончить.
T38,Ответьте при первой возможности.
T41,СРОЧНО!!! Как называется эта песня?
T44,Третий раз прошу прислать акт.
T45,"Перезвони, как увидишь сообщение."
T46,"Если успеешь сегодня, будет здорово."
T49,До закрытия приёма заявок осталось полчаса.
T50,Мне нужен новый пароль.
T54,Доставка задерживается уже неделю.
T56,Пришлите данные как можно скорее.
T57,Завтра истекает срок действия пропуска.
T60,Ваш ответ нужен для дальнейшей работы.
T61,"Оператор пишет «срочно», но причина не указана."
T65,Без подписи работа стоит.
T66,"Сделайте, пожалуйста, немедленно."
T70,"Ускорьте рассмотрение, пожалуйста."
