stage,question_id,mode,valid,answer_correct,answerable_correct,all_relevant_in_context,seconds,input_tokens,output_tokens,shared_gpu_workload
challenge,CH01,full,True,True,True,True,3.0484646999998404,1193,17,False
challenge,CH01,bm25,True,True,True,True,2.6440010000001166,365,17,False
challenge,CH02,full,True,True,True,True,3.0102044000000205,1190,17,False
challenge,CH02,bm25,True,True,True,False,2.5903739000000314,378,17,False
challenge,CH03,full,True,True,True,True,3.040043500000138,1182,17,False
challenge,CH03,bm25,True,True,True,True,2.5812638000002153,354,17,False
challenge,CH04,full,True,True,True,True,3.0161035000000993,1195,17,False
challenge,CH04,bm25,True,True,True,True,2.621053600000323,367,17,False
challenge,CH05,full,True,True,True,True,3.0033872999997584,1189,17,False
challenge,CH05,bm25,True,True,True,True,2.539889099999982,361,17,False
challenge,CH06,full,True,True,True,True,3.053556700000172,1201,17,False
challenge,CH06,bm25,True,True,True,True,2.5707406000001356,373,17,False
challenge,CH07,full,True,False,False,True,3.1212938999997277,1214,19,False
challenge,CH07,bm25,True,False,False,True,2.5976221999999325,386,19,False
challenge,CH08,full,True,True,True,True,3.0597382000000835,1235,17,False
challenge,CH08,bm25,True,True,True,True,2.5591820999998163,407,17,False
challenge,CH09,full,True,True,True,True,3.049048599999878,1202,17,False
challenge,CH09,bm25,True,True,True,False,2.704314300000078,399,17,False
challenge,CH10,full,True,True,True,True,3.0209465000002638,1205,17,False
challenge,CH10,bm25,True,True,True,True,2.558440299999802,377,17,False
challenge,CH11,full,True,True,True,True,3.2162405999997645,1230,21,False
challenge,CH11,bm25,True,True,True,True,2.6807097000000795,402,21,False
challenge,CH12,full,True,True,True,True,3.1209504000003108,1206,21,False
challenge,CH12,bm25,True,True,True,False,2.742507399999795,401,19,False
challenge,CH13,full,True,True,True,True,3.1224786000002496,1205,22,False
challenge,CH13,bm25,True,True,True,True,2.748717899999974,377,22,False
challenge,CH14,full,True,True,True,True,3.253031000000192,1224,27,False
challenge,CH14,bm25,True,False,True,False,2.8188068999997995,415,25,False
challenge,CH15,full,True,True,True,True,3.0806204000000434,1203,20,False
challenge,CH15,bm25,True,True,True,True,2.6309994000002916,375,20,False
challenge_replication,QR01,full,True,False,False,True,3.6770261000001483,1211,19,True
challenge_replication,QR01,bm25,True,True,True,True,2.7689288999999917,383,17,True
challenge_replication,QR02,full,True,False,False,True,3.153650700000071,1222,20,True
challenge_replication,QR02,bm25,True,False,False,True,2.68455350000022,394,20,True
challenge_replication,QR03,full,True,False,False,True,3.7417623000001186,1213,19,True
challenge_replication,QR03,bm25,True,False,False,True,2.700586299999941,385,19,True
challenge_replication,QR04,full,True,False,False,True,3.557667500000207,1218,20,True
challenge_replication,QR04,bm25,True,False,False,True,3.6102946999999403,390,20,True
