question_id,split,mode,valid,answer_correct,answer_exact,answerable_correct,gold_answerable,pred_answerable,evidence_precision,evidence_recall,evidence_f1,all_gold_in_context,context_answerable,context_answerable_correct,seconds,input_tokens,output_tokens
Q001,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.3195104000001265,1052,23
Q001,train,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.992725800000244,389,31
Q002,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.0274195000001782,1063,18
Q002,train,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.7422340999996777,374,21
Q003,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.1738335999998526,1071,23
Q003,train,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.8248428000001695,422,23
Q004,train,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.1157858999999917,1061,21
Q004,train,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.843453800000134,387,25
Q005,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,4.062396700000136,1075,57
Q005,train,bm25,True,False,False,True,True,True,1.0,0.8333333333333334,0.9090909090909091,False,False,False,3.477707200000168,380,50
Q006,train,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.293198400000165,1059,27
Q006,train,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.923264300000028,390,27
Q007,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.2248067999998966,1058,24
Q007,train,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.821054799999729,364,24
Q008,train,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,3.048853099999633,1057,17
Q008,train,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.703366900000219,404,17
Q009,train,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.9898106999999072,1064,17
Q009,train,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.648855899999944,402,17
Q010,train,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,3.034149999999954,1060,17
Q010,train,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.6780141999997795,391,17
Q011,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.1860105999999178,1052,23
Q011,train,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.016398599999775,389,31
Q012,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.010230700000193,1063,18
Q012,train,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.7462349000002177,374,18
Q013,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.162875200000144,1071,23
Q013,train,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.840110300000106,422,23
Q014,train,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.403041999999914,1061,21
Q014,train,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.8352739000001748,387,21
Q015,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.9741447000001244,1075,57
Q015,train,bm25,True,False,False,True,True,True,1.0,0.8333333333333334,0.9090909090909091,False,False,False,3.4298116999998456,380,50
Q016,train,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.186652299999878,1059,27
Q016,train,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.871008499999789,390,27
Q017,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.1390599000001203,1058,24
Q017,train,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.7921774999999798,364,24
Q018,train,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.988618399999723,1057,17
Q018,train,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.6379345999998804,404,17
Q019,train,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,3.0148051000001033,1064,17
Q019,train,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.6391779000000497,402,17
Q020,train,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.9724208999996335,1060,17
Q020,train,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.6740936000001057,391,17
Q021,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.097912300000189,1052,23
Q021,train,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.960415600000033,389,31
Q022,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.9730735000002824,1063,18
Q022,train,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.725590799999736,374,21
Q023,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.145676900000126,1071,23
Q023,train,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.7739620000002105,422,23
Q024,train,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.0885088999998516,1061,21
Q024,train,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.8549896999998055,387,25
Q025,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.9240122999999585,1075,57
Q025,train,bm25,True,False,False,True,True,True,1.0,0.8333333333333334,0.9090909090909091,False,False,False,3.391371700000036,380,50
Q026,train,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.22097070000018,1059,27
Q026,train,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.8641717999998946,390,27
Q027,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.1502800999996907,1058,24
Q027,train,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.7868242999998074,364,24
Q028,train,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.9682818999999654,1057,17
Q028,train,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.707635599999776,404,17
Q029,train,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.9628681999997752,1064,17
Q029,train,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.6274639999996907,402,17
Q030,train,full,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.956490799999756,1060,17
Q030,train,bm25,True,True,True,True,False,False,1.0,1.0,1.0,True,False,True,2.6183618999998544,391,17
Q031,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.1127105000000483,1052,23
Q031,train,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.9572392999998556,389,31
Q032,train,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.0608125999997355,1064,21
Q032,train,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.6642769000000044,375,18
Q033,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.126732300000185,1072,23
Q033,train,bm25,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,2.8217076999999335,422,23
Q034,train,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.0516230000002906,1061,21
Q034,train,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.803100000000086,387,25
Q035,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.9749901999998656,1076,57
Q035,train,bm25,True,False,False,True,True,True,1.0,0.8333333333333334,0.9090909090909091,False,False,False,3.440274000000045,380,51
Q036,train,full,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,3.2759627000000364,1060,27
Q036,train,bm25,True,True,False,True,True,True,1.0,1.0,1.0,True,True,True,2.861049399999956,390,27
Q037,train,full,True,True,True,True,True,True,1.0,1.0,1.0,True,True,True,3.139059200000247,1058,24
