id,label,reason
T01,1,Явное ускорение или непосредственно опасная ситуация.
T02,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T03,1,Явное ускорение или непосредственно опасная ситуация.
T04,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T05,1,Явное ускорение или непосредственно опасная ситуация.
T06,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T07,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T08,1,Явное ускорение или непосредственно опасная ситуация.
T09,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T10,1,Явное ускорение или непосредственно опасная ситуация.
T11,1,Явное ускорение или непосредственно опасная ситуация.
T12,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T13,1,Явное ускорение или непосредственно опасная ситуация.
T14,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T15,1,Явное ускорение или непосредственно опасная ситуация.
T16,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T17,?,"Проблема или срок есть, но необходимость немедленного действия не вполне определена."
T18,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T19,1,Явное ускорение или непосредственно опасная ситуация.
T20,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T21,1,Явное ускорение или непосредственно опасная ситуация.
T22,?,"Проблема или срок есть, но необходимость немедленного действия не вполне определена."
T23,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T24,1,Явное ускорение или непосредственно опасная ситуация.
T25,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T26,1,Явное ускорение или непосредственно опасная ситуация.
T27,?,"Проблема или срок есть, но необходимость немедленного действия не вполне определена."
T28,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T29,1,Явное ускорение или непосредственно опасная ситуация.
T30,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T31,1,Явное ускорение или непосредственно опасная ситуация.
T32,1,Явное ускорение или непосредственно опасная ситуация.
T33,?,"Проблема или срок есть, но необходимость немедленного действия не вполне определена."
T34,1,Явное ускорение или непосредственно опасная ситуация.
T35,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T36,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T37,1,Явное ускорение или непосредственно опасная ситуация.
T38,1,Явное ускорение или непосредственно опасная ситуация.
T39,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T40,0,"Нет актуального требования немедленного действия; обычный срок, фон, цитата либо отрицание."
T41,1,Явное ускорение или непосредственно опасная ситуация.
